Tdh,chamber,trt,CO2L_mean,DIFFP_mean,CO2FLOW_mean,CO2CChamb_mean,DPCChamb_mean,TAIR_mean,AddTime_mean,LCO2slope_mean,CONDH2O_mean,TBox_mean,DoorCnt_mean,CO2C_mean,ROTR_RH_mean,AIRPRESS_mean,DewPntC_mean,ROTR_TA_mean,PAR_mean,WIND_mean,REFCO2_mean,RAIN_mean,Taref_al_mean,RHref_al_mean,Tchilled_SP_mean,Tchilled_mean,DPref_al_mean,Tair_SP_mean,RH_al_mean,DP_al_mean,Tsub_al_mean,RH_SP_mean,Tair_al_mean,kfactor_mean,ChVolume_mean,HWTC_mean,prevDateTime_mean,prevHWTC_mean,prevCWTC_mean,tcycle_mean,fCO2_mean,Href_mean,ICO2_mean,Dref_mean,Ain_mean,Aout_mean,v_mean,F_mean,deltaS_mean,Fwat_mean,Vwat_mean,deltaH2O_mean,FluxH2O_mean,FluxCO2_mean,d18O.corrected_WV,d18O.corrected_WV(AMB),d18O.corrected_Cond,leaftemp,Camp
24/10/2016 13:00,C01,ambient,403.175,87.825,336.5049973,401.6,11.5,23.175,621.7996607,1.03337625,0.036622531,31.7,0,403.35,31.185,101.68,5.85,22.68,1625.5,1.745,403.65,0,22.61869931,41.84398651,4.875358045,4.9375,9.029843569,22.59180832,50.77764845,11.98121786,25.6456759,41.85231781,22.48234749,0.76,52800,1381.676839,,1383.46641,400.7,900,5.608416621,1148.06047,0.172980634,1.193338637,6.620453828,6.635874085,0.11897191,0.119301567,0.002357143,0.0033372,0.004025604,-4.61E-05,0.037264808,0.170953149,-13.27287285,-12.58290861,-3.528197857,24.748,1
24/10/2016 14:00,C01,ambient,403.75,86.55,336.472496,404.8,11.075,23.2,582.7126961,1.0320475,0.037997686,31.225,0,402.8,29.51,101.6,5.525,22.7,1365.15,1.025,403.075,0,22.78308058,38.89995146,4.199252367,4.225000262,8.083068252,22.78891158,49.09592724,11.65293813,24.88260961,38.86304235,22.70988584,0.76,52800,1354.371432,,1353.972765,403.35,900,5.607874934,1077.93555,0.162093523,1.192046633,6.566963117,6.585070233,0.119000798,0.118168946,0.003797619,0.003110431,0.003918784,1.03E-05,0.038816316,0.157464052,-13.27180781,-13.13103258,,25.29516667,1
24/10/2016 15:00,C01,ambient,416.15,84.8,336.827507,416,11.4,23.1,281.9929857,1.0347485,0.020627315,30.425,0,403.625,28.585,101.585,5.2,22.86,1005.95,1.72,403.35,0,22.80687475,38.19520712,3.789705753,3.675000072,7.82235831,22.82217765,52.63268232,12.43988919,22.65006232,38.19000006,22.40504503,0.76,52800,1425.25143,,1409.124292,414.225,900,5.613791784,1059.981923,0.07850584,1.191853157,6.49924419,6.522949909,0.121139656,0.117029392,0.00464881,0.003027403,0.004085694,0.000415683,0.022101289,0.069746768,-13.35058265,-13.27287285,-3.528197857,23.051,1
24/10/2016 16:00,C01,ambient,414.325,84.425,340.5999985,415.7,10.425,21.9,94.87218028,1.0350055,0.009119445,28.675,0,404.5,32.27,101.595,5.2,21.52,582.55,2.385,404.525,0,21.56298971,40.96652412,3.674751163,3.575000048,7.689844906,21.57327247,52.47656775,11.6018163,21.62072992,40.92664242,21.54970145,0.76,52800,1348.665314,,1380.728889,415.7,900,5.676666641,1051.765799,0.026706059,1.197051718,6.498814209,6.518059483,0.120962142,0.117363801,1.08E-19,0.003003536,0.0038627,-0.00082657,0.009152039,0.023107717,-14.09723285,-13.27180781,-13.06747186,21.18283333,1
24/10/2016 17:00,C01,ambient,417.5,84.75,343.6275024,417.75,8.85,18.775,57.17318654,1.03564825,0.00774429,26.65,0,408.05,43.6,101.68,6.225,18.475,112.8,2.825,407.75,0,18.4328084,51.66084146,4.309378624,4.212500036,8.318972468,18.45541,56.55301952,9.851410747,18.45936346,51.55024719,18.45111442,0.76,52800,1199.709924,,1230.488886,416.875,900,5.727125041,1092.966906,0.016246598,1.210736252,6.549416858,6.556369743,0.122274234,0.119220513,0.002291667,0.003142932,0.003453329,-0.000792891,0.007261796,0.01090121,-14.10561589,-13.35058265,-7.20111716,18.238,1
24/10/2016 18:00,C01,ambient,424.55,85.1,259.8075027,426.85,8.95,16.525,12.62674665,1.0429715,0.007310031,24.525,0,412.15,55.07,101.795,7.225,16.15,5.85,1.33,411.575,0,16.01037133,61.03314352,4.531734526,4.524999976,8.529748678,16.0214082,65.28911686,9.71528554,16.00439823,60.9894042,16.02360713,0.76,52800,1187.681583,,1186.272509,423.625,900,4.330125046,1108.553117,0.003615795,1.222198087,6.594263095,6.599449211,0.125759332,0.121162691,0.008446429,0.003205857,0.00343738,3.63E-05,0.007577852,-0.009427274,-13.39336556,-14.09723285,-6.389192857,15.7055,1
24/10/2016 19:00,C01,ambient,437.6,85.825,0,438,8.375,14.3,0,1.03262175,0.004342593,22.45,0,419.8,69.545,101.905,7.975,14.02,0,0,418.9,0,13.89294136,71.04952621,4.804632664,4.712500095,8.803930759,13.90636027,70.06984997,8.853083014,14.00776458,71.009758,14.01669216,0.76,52800,1119.893757,,1136.156125,435.65,900,0,1126.162379,0,1.232473244,6.650474658,6.650060202,0.130035553,0.124373619,0.006154762,0.003280983,0.00326248,-0.00041801,0.00390608,-0.011816696,-12.38117219,-14.10561589,-4.432667857,13.78,1
24/10/2016 20:00,C01,ambient,443.125,87.75,0,443.3,8.375,12.425,0,1.040699,0.003401698,20.375,0,423.325,81.77,102,8.275,12.155,0,0,423.6,0,12.02306461,77.98469162,4.407424748,4.425000072,8.409184694,12.03119123,78.38595295,8.534500718,12.1457206,77.96401787,11.97643244,0.76,52800,1096.732934,,1101.790518,442.7,900,0,1094.577713,0,1.241860502,6.749397159,6.749541151,0.133574736,0.127635378,0.001571429,0.003233423,0.003239851,-0.000129863,0.003278263,-0.007510787,-11.94707285,-13.39336556,-4.512311504,11.86666667,1
24/10/2016 21:00,C01,ambient,446.675,88.2,0,448.275,8.075,11,0,1.04431775,0.002460802,18.7,0,429.5,153.87,102,8.3,10.775,0,0,428.6,0,10.68972862,84.58654308,4.321351886,4.137499988,8.318574071,10.6923486,82.18802071,8.015410244,11.05463326,84.55891895,10.73402905,0.76,52800,1059.070491,,1065.715557,447.4,900,0,1086.957688,0,1.247732582,6.782466452,6.780592698,0.135695049,0.129775195,0.002291667,0.003226651,0.003143001,-0.000170625,0.002206528,-0.00821152,-11.96623444,-12.38117219,-5.095847143,10.66283333,1
24/10/2016 22:00,C01,ambient,451.35,88.1,146.6474991,452.7,8.675,11.1,7.5,1.0461925,0.002388426,17.55,0,441.25,155.99,102,8.225,10.87,0,0,439.475,0,10.6025629,85.2095871,4.351657033,4.037500054,8.350823998,10.59742987,86.44463348,8.559164524,10.95703459,85.18667698,10.49921036,0.76,52800,1096.845591,,1087.624845,450.35,900,2.444124985,1088.611747,0.002137178,1.248107627,6.779678793,6.780231321,0.137027079,0.13301237,0.006154762,0.003230238,0.003254904,0.00023676,0.002649853,-0.008032293,-11.10264503,-11.94707285,-4.661714286,10.49716667,1
